	Shannon	Inverse_Simpson	OTU_richness	Chao1	ACE	PD	cultivar	date	treatment	Shannon	block								
E26	3.561465929	0.882136912	245	371.56	406.9540498	18.57785	Drought tolerant	Jul.5	50	6.493253524	4								
E27	3.948358231	0.932983086	243	392.7906977	437.8658262	18.473	Drought sensitive	Jul.5	0	6.42153096	4								
E28	3.83992795	0.920435827	261	466.1538462	443.5211081	19.00875	Drought sensitive	Jul.5	75	6.423130559	4								
E29	3.572433661	0.90186359	144	249.12	258.9147027	11.0347	Drought tolerant	Jul.5	0	6.388163162	4								
E30	3.440230748	0.853871727	244	419.525	432.32596	19.87208	Drought sensitive	Jul.5	50	6.482339281	4								
E31	3.482865808	0.864545124	234	362.8863636	391.8541801	18.59243	Drought tolerant	Jul.5	75	6.327590585	4								
E32	3.726174663	0.921464243	220	375.2	359.9150453	16.75582	Drought sensitive	Jul.5	25	6.397342173	4								
E33	3.972525345	0.939885947	270	406.6851852	445.9109155	21.11165	Drought sensitive	Jul.5	0	6.34035498	5								
E34	3.749698368	0.922019462	241	404.5789474	406.5818783	20.1684	Drought tolerant	Jul.5	75	6.273421994	5								
E35	3.675329997	0.904455337	241	430.4411765	412.9041658	20.29413	Drought tolerant	Jul.5	0	6.491075768	5								
E36	3.733942107	0.894172632	262	457.1463415	461.9005724	21.14719	Drought tolerant	Jul.5	50	6.388551723	5								
E37	3.652739865	0.913468417	251	379.0377358	426.3524027	19.60946	Drought sensitive	Jul.5	25	6.544900855	5								
E38	3.692184565	0.889382416	261	478.3414634	501.0952023	20.41901	Drought tolerant	Jul.5	25	6.411705634	5								
E39	3.9087511	0.917834454	273	428	445.1940105	20.30953	Drought sensitive	Jul.5	50	6.491571932	5								
E40	3.486084189	0.89565095	223	363.9268293	406.2651747	17.75607	Drought sensitive	Jul.5	75	6.454617303	5								
E41	3.897333508	0.942220874	251	396.6666667	414.0932538	20.02424	Drought sensitive	Jul.5	50	6.406595644	6								
E42	3.637926207	0.924147152	210	310.4102564	337.4343143	16.35836	Drought tolerant	Jul.5	75	6.413070373	6								
E43	3.716056376	0.929693999	238	409.025641	430.4636122	19.34843	Drought sensitive	Jul.5	25	6.346136504	6								
E44	3.630214745	0.895748987	233	354.7272727	379.809506	20.1549	Drought sensitive	Jul.5	0	6.226085622	6								
E45	2.896026133	0.77082482	187	295.9375	294.2498524	14.98862	Drought tolerant	Jul.5	50	6.460350695	6								
E46	3.69608561	0.902081584	251	415.0222222	441.8379671	22.20122	Drought tolerant	Jul.5	0	6.406244097	6								
E47	3.640394765	0.892388556	243	376.1707317	368.1017264	20.18437	Drought sensitive	Jul.5	75	6.41140459	6								
E48	3.524268385	0.89788784	252	402.06	446.0986095	18.60688	Drought tolerant	Jul.5	25	6.457954855	6								
